COUNTRY NAME,CURRENCY NAME,COUNTRY CODE,CURRENCY CODE,EXCHANGE RATE IN USD
Albania,Albanian lek,ALB,ALL,98.38453
Algeria,Algerian dinar,DZA,DZD,135.5952
Angola,Angolan kwanza,AGO,AOA,752
Antigua and Barbuda,East Caribbean dollar,ATG,XCD,2.70255
Argentina,Argentine peso,ARG,ARS,249.3086
Armenia,Armenian dram,ARM,AMD,386.4088
Australia,Australian dollar,AUS,AUD,1.478568
Austria,Euro,AUT,EUR,0.91655
Azerbaijan,Azerbaijani manat,AZE,AZN,1.7
"Bahamas, The",Bahamian dollar,BHS,BSD,1.000334
Bahrain,Bahraini dinar,BHR,BHD,0.3770558
Bangladesh,Bangladeshi taka,BGD,BDT,108.3413
Barbados,Barbadian dollar,BRB,BBD,2.021381
Belarus,Belarusian ruble,BLR,BYN,2.52692
Belgium,Euro,BEL,EUR,0.91655
Belize,Belize dollar,BLZ,BZD,2.017991
Benin,West African CFA franc,BEN,XOF,600.8941
Bermuda,Bhutanese ngultrum,BMU,BTN,1
Bolivia,Bolivian boliviano,BOL,BOB,6.918348
Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,BIH,BAM,1.791764
Botswana,Botswana pula,BWA,BWP,13.26823
Brazil,Brazilian real,BRA,BRL,4.791
Brunei Darussalam,Brunei dollar,BRN,BND,1.344228
Bulgaria,Bulgarian lev,BGR,BGN,1.79215
Burkina Faso,West African CFA franc,BFA,XOF,600.8941
Burundi,Burundian franc,BDI,BIF,2828.339
Cabo Verde,Cape Verdean escudo,CPV,CVE,101.0086
Cambodia,Cambodian riel,KHM,KHR,4130.52
Cameroon,Central African CFA franc,CMR,XAF,600.8968
Canada,Canadian dollar,CAN,CAD,1.324355
Central African Republic,Central African CFA franc,CAF,XAF,600.8968
Chad,Central African CFA franc,TCD,XAF,600.8968
Chile,Chilean peso,CHL,CLP,0.02224095231
China,Chinese yuan,CHN,CNY,7.195
Colombia,Colombian peso,COL,COP,4149.85
Comoros,Comorian franc,COM,KMF,451.85
"Congo, Dem. Rep.",Congolese Franc,COD,CDF,2382.5
"Congo, Rep.",Congolese franc,COG,CDF,600.8968
Costa Rica,Costa Rican colón,CRI,CRC,540.8426
Cote d'Ivoire,CFA franc BCEAO,CIV,XOF,600.8941
Croatia,Croatian kuna,HRV,HRK,6.903392
Cyprus,Euro,CYP,EUR,0.91655
Czech Republic,Czech koruna,CZE,CZK,21.797
Denmark,Danish krone,DNK,DKK,6.8264
Djibouti,Djiboutian franc,DJI,DJF,178.2472
Dominica,East Caribbean dollar,DMA,XCD,2.70255
Dominican Republic,Dominican peso,DOM,DOP,55.03696
Ecuador,United States dollar,ECU,USD,1
"Egypt, Arab Rep.",Egyptian pound,EGY,EGP,30.94547
El Salvador,United States dollar,SLV,USD,8.759699
Equatorial Guinea,Central African CFA franc,GNQ,XAF,600.8968
Estonia,Euro,EST,EUR,0.91655
Eswatini,Swazi lilangeni,SWZ,SZL,18.23045
Ethiopia,Ethiopian birr,ETH,ETB,55.01589
Fiji,Fijian dollar,FJI,FJD,2.21445
Finland,Euro,FIN,EUR,0.91655
France,Euro,FRA,EUR,0.91655
Gabon,Central African CFA franc,GAB,XAF,600.8968
"Gambia, The",Gambian dalasi,GMB,GMD,59.5
Georgia,Georgian lari,GEO,GEL,2.605
Germany,Euro,DEU,EUR,0.91655
Ghana,Ghanaian cedi,GHA,GHS,11.36324
Greece,Euro,GRC,EUR,0.91655
Grenada,East Caribbean dollar,GRD,XCD,2.70255
Guatemala,Guatemalan quetzal,GTM,GTQ,7.838108
Guinea,Guinean franc,GIN,GNF,8608.228
Guinea-Bissau,West African CFA franc,GNB,XOF,600.8941
Guyana,Guyanese dollar,GUY,GYD,211.7462
Haiti,Haitian gourde,HTI,HTG,139.1589
Honduras,Honduran lempira,HND,HNL,24.64755
"Hong Kong SAR, China",Hong Kong Dollar,HKG,HKD,7.825075
Hungary,Hungarian forint,HUN,HUF,340.8465
Iceland,Icelandic króna,ISL,ISK,136.29
India,Indian rupee,IND,INR,82.0825
Indonesia,Indonesian rupiah,IDN,IDR,14968.5
Iraq,Iraqi dinar,IRQ,IQD,1310.474
Ireland,Euro,IRL,EUR,0.91655
Israel,Israeli new shekel,ISR,ILS,3.60637
Italy,Euro,ITA,EUR,0.91655
Jamaica,Jamaican dollar,JAM,JMD,155.1716
Japan,Japanese yen,JPN,JPY,142.047
Jordan,Jordanian dinar,JOR,JOD,0.7099
Kazakhstan,Kazakhstani tenge,KAZ,KZT,449.1796
Kenya,Kenyan shilling,KEN,KES,140.2
"Korea, Rep.",South Korean won,KOR,KRW,1293.28
Kosovo,Euro,XKX,EUR,0.91655
Kyrgyz Republic,Kuwaiti dinar,KGZ,KWD,87.341
Lao PDR,Lao kip,LAO,LAK,19046.35
Latvia,Euro,LVA,EUR,0.91655
Lebanon,Lebanese pound,LBN,LBP,15026.59
Lesotho,Lesotho loti,LSO,LSL,18.41154
Liberia,Liberian dollar,LBR,LRD,176.6
Libya,Libyan dinar,LBY,LYD,4.798307
Lithuania,Euro,LTU,EUR,0.91655
Luxembourg,Euro,LUX,EUR,0.91655
"Macao SAR, China",,MAC,,8.069605
Madagascar,Malagasy ariary,MDG,MGA,4539.084
Malawi,Malawian kwacha,MWI,MWK,1027.546
Malaysia,Malaysian ringgit,MYS,MYR,4.6515
Maldives,Maldivian rufiyaa,MDV,MVR,15.355
Mali,West African CFA franc,MLI,XOF,600.8941
Malta,Euro,MLT,EUR,0.91655
Marshall Islands,United States dollar,MHL,USD,1
Mauritania,Mauritanian ouguiya,MRT,MRO,34.58
Mauritius,Mauritian rupee,MUS,MUR,0.91655
Mexico,Mexican peso,MEX,MXN,17.24771
"Micronesia, Fed. Sts.",Mexican peso,FSM,MXN,17.25
Moldova,Moldovan leu,MDA,MDL,17.94064
Mongolia,Mongolian tögrög,MNG,MNT,3466
Montenegro,Euro,MNE,EUR,0.91655
Morocco,Moroccan dirham,MAR,MAD,10.02299
Mozambique,Mozambican metical,MOZ,MZN,63.25
Myanmar,Burmese kyat,MMR,MMK,2102.351
Namibia,Namibian dollar,NAM,NAD,18.38
Nauru,Australian dollar,NRU,AUD,1.478568
Nepal,Nepalese rupee,NPL,NPR,131.529
Netherlands,Euro,NLD,EUR,0.91655
New Zealand,New Zealand dollar,NZL,NZD,1.62371
Nicaragua,Nicaraguan córdoba,NIC,NIO,36.61497
Niger,West African CFA franc,NER,XOF,600.8941
Nigeria,Nigerian naira,NGA,NGN,691.28
North Macedonia,Macedonian denar,MKD,MKD,56.44725
Norway,Norwegian krone,NOR,NOK,10.74542
Pakistan,Pakistani rupee,PAK,PKR,287.4195
Panama,Panamanian balboa,PAN,PAB,1.001108
Papua New Guinea,Papua New Guinean kina,PNG,PGK,3.611114
Paraguay,Paraguayan guaraní,PRY,PYG,7246.045
Peru,Peruvian sol,PER,PEN,3.632266
Philippines,Philippine peso,PHL,PHP,55.599
Poland,Polish zloty,POL,PLN,4.075933
Portugal,Euro,PRT,EUR,0.91655
Qatar,Qatari riyal,QAT,QAR,3.641
Romania,Romanian leu,ROU,RON,4.5477
Russia,Russian ruble,RUS,RUB,84.4375
Rwanda,Rwandan franc,RWA,RWF,1148.283
Samoa,Samoan tala,WSM,WST,2.72551
Sao Tome and Principe,São Tomé and Príncipe dobra,STP,STD,22823.99
Saudi Arabia,Saudi riyal,SAU,SAR,3.7513
Senegal,West African CFA franc,SEN,XOF,600.8941
Serbia,Serbian dinar,SRB,RSD,107.4514
Seychelles,Seychellois rupee,SYC,SCR,13.32942
Sierra Leone,Sierra Leonean leone,SLE,SLL,19750
Singapore,Singapore dollar,SGP,SGD,1.34456
Slovak Republic,Euro,SVK,EUR,0.91655
Slovenia,Euro,SVN,EUR,0.91655
Solomon Islands,Solomon Islands dollar,SLB,SBD,8.337712
Somalia,Somali shilling,SOM,SOS,568.5
South Africa,South African rand,ZAF,ZAR,18.41154
Spain,Euro,ESP,EUR,0.91655
Sri Lanka,Sri Lankan rupee,LKA,LKR,308.3639
St. Kitts and Nevis,Saint Kitts and Nevis,KNA,KNA,2.70255
St. Lucia,Eastern Caribbean dollar,LCA,LCA,2.70255
St. Vincent and the Grenadines,Eastern Caribbean dollar,VCT,XCD,2.70255
Sudan,Sudanese pound,SDN,SDG,601.5
Suriname,Surinamese dollar,SUR,SRD,37.6
Sweden,Swedish krona,SWE,SEK,10.82046
Switzerland,Swiss franc,CHE,CHF,0.89934
Tajikistan,Tajikistani somoni,TJK,TJS,10.93243
Tanzania,Tanzanian shilling,TZA,TZS,2398
Thailand,Thai baht,THA,THB,34.865
Timor-Leste,United States dollar,TLS,,1
Togo,West African CFA franc,TGO,XOF,600.8941
Trinidad and Tobago,Trinidad and Tobago dollar,TTO,TTD,6.786369
Tunisia,Tunisian dinar,TUN,TND,3.088
Turkey,Turkish lira,TUR,TRY,23.554
Turks and Caicos Islands,United States dollar,TCA,,1
Tuvalu,Australian dollar,TUV,AUD,1
Uganda,Ugandan shilling,UGA,UGX,3710.184
Ukraine,Ukrainian hryvnia,UKR,UAH,36.97278
United Kingdom,British pound,GBR,GBP,0.78272
United States,United States dollar,USA,USD,1
Uruguay,Uruguayan peso,URY,UYU,38.20063
Uzbekistan,Uzbekistani som,UZB,UZS,11503.3
Vanuatu,Vanuatu vatu,VUT,VUV,118.979
Vietnam,Vietnamese dong,VNM,VND,23520
West Bank and Gaza,,PSE,,10.02299
Zambia,Zambian kwacha,ZMB,ZMW,19.3507
Zimbabwe,United States dollar,ZWE,USD,1
UAE,UAE Dirham,AE,AED,3.67311
Afghanistan,Afghani, AFG,AFN,85.81662
Bhutan,Bhutan Ngultrum,BTN,BTN,82.20852
Denmark,Danish Krone,DNK,DKK,6.8264
Kiribati,Australian dollar,KIR,AUD,1.478568
Oman,Omani rial,OMN,OMR,0.3844906
Palau,US Dollar,PLW,USD,1
Yemen,Yemeni rial,YEM,YER,250.35
Vemzula,venuzulean bolivar,VEN,VEF,26.49
Turkmistan,Turkmenistani manat,TKM,TMT,3.51
Tonga,Tongan paʻanga,TON,TOP,2.3509
